interv_measure,scene,object_value,min_coverage,year
34,2,1000,,1
34,2,1500,,1
34,2,2000,,1
34,2,2500,,1
34,3,500,,1
34,3,1000,,1
34,3,1500,,1
34,3,2000,,1
34,3,2500,,1
34,4,500,,1
34,4,1000,,1
34,4,1500,,1
34,4,2000,,1
34,4,2500,,1
34,5,500,,1
34,5,1000,,1
34,5,1500,,1
34,5,2000,,1
34,5,2500,,1
34,6,500,,1
34,6,1000,,1
34,6,1500,,1
34,6,2000,,1
34,6,2500,,1
34,1,500,,3
34,1,1000,,3
34,1,1500,,3
34,1,2000,0,3
34,1,2500,0,3
34,2,500,,3
34,2,1000,,3
34,2,1500,,3
34,2,2000,,3
34,2,2500,,3
34,3,500,,3
34,3,1000,,3
34,3,1500,,3
34,3,2000,,3
34,3,2500,,3
34,4,500,,3
34,4,1000,,3
34,4,1500,,3
34,4,2000,,3
34,4,2500,,3
34,5,500,,3
34,5,1000,,3
34,5,1500,,3
34,5,2000,,3
34,5,2500,,3
34,6,500,,3
34,6,1000,,3
34,6,1500,,3
34,6,2000,,3
34,6,2500,,3
34,1,500,,5
34,1,1000,,5
34,1,1500,0.804285393,5
34,1,2000,0,5
34,1,2500,0,5
34,2,500,,5
34,2,1000,,5
34,2,1500,,5
34,2,2000,,5
34,2,2500,,5
34,3,500,,5
34,3,1000,,5
34,3,1500,,5
34,3,2000,,5
34,3,2500,,5
34,4,500,,5
34,4,1000,,5
34,4,1500,,5
34,4,2000,,5
34,4,2500,,5
34,5,500,,5
34,5,1000,,5
34,5,1500,,5
34,5,2000,,5
34,5,2500,,5
34,6,500,,5
34,6,1000,,5
34,6,1500,,5
34,6,2000,,5
34,6,2500,,5
123,1,500,0.227904829,1
123,1,1000,0.149660117,1
123,1,1500,0.088801246,1
123,1,2000,0,1
123,1,2500,0,1
123,2,500,0.346264556,1
123,2,1000,0.239050425,1
123,2,1500,0.196729648,1
123,2,2000,0.157837446,1
123,2,2500,0.129449287,1
123,3,500,0.573359337,1
123,3,1000,0.335554286,1
123,3,1500,0.266325193,1
123,3,2000,0.232127849,1
123,3,2500,0.202648719,1
123,4,500,0.638088636,1
123,4,1000,0.384849324,1
123,4,1500,0.294227866,1
123,4,2000,0.249828194,1
123,4,2500,0.233515635,1
123,5,500,0.764735279,1
123,5,1000,0.570292806,1
123,5,1500,0.413043764,1
123,5,2000,0.325535802,1
123,5,2500,0.286827254,1
123,6,500,0.830017268,1
123,6,1000,0.679732064,1
123,6,1500,0.54809208,1
123,6,2000,0.435129998,1
123,6,2500,0.360793421,1
123,1,500,0.157029012,3
123,1,1000,0.097798247,3
123,1,1500,0.056607132,3
123,1,2000,0,3
123,1,2500,0,3
123,2,500,0.272864564,3
123,2,1000,0.166921505,3
123,2,1500,0.130547783,3
123,2,2000,0.10714603,3
123,2,2500,0.085033892,3
123,3,500,0.48452996,3
123,3,1000,0.252491296,3
123,3,1500,0.187643227,3
123,3,2000,0.158025093,3
123,3,2500,0.139403451,3
123,4,500,0.548375672,3
123,4,1000,0.295881174,3
123,4,1500,0.211169653,3
123,4,2000,0.177226844,3
123,4,2500,0.15256036,3
123,5,500,0.682700662,3
123,5,1000,0.463547526,3
123,5,1500,0.311437579,3
123,5,2000,0.240310692,3
123,5,2500,0.203829275,3
123,6,500,0.755863838,3
123,6,1000,0.576760669,3
123,6,1500,0.432232107,3
